Amount,MerchantCategory,TransactionType,Latitude,Longitude,AvgTransactionAmount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,FraudFlag,Hour,DayOfWeek,User_Transaction_Count,IP_Frequency,Phone_Usage_Count
5105.57,Utilities,P2P,-27.5926005,-40.110111,5372.49,5/day,True,False,False,1,True,16,3,1,1,1
6977.73,Utilities,P2M,-45.8570015,-120.375309,3247.7,1/day,True,False,True,1,False,20,0,1,1,1
1156.92,Entertainment,P2M,5.6602785,110.981504,666.42,1/day,False,False,False,2,False,10,0,1,1,1
3473.32,Clothing,P2M,-13.4325345,-139.446282,7881.84,5/day,True,True,True,2,False,16,6,1,1,1
3498.57,Electronics,P2M,-65.3533545,-97.751949,4499.45,3/day,True,False,True,3,False,17,4,1,1,1
349.8,Restaurants,P2M,-13.733963,87.316539,3415.25,5/day,True,True,False,3,False,3,3,1,1,1
4230.28,Travel,P2P,-33.592266,-23.991284,3373.42,3/day,False,True,True,3,False,16,0,1,1,1
7752.47,Entertainment,P2P,-88.576978,19.112475,2860.27,5/day,True,True,True,2,False,11,5,1,1,1
2187.1,Travel,P2M,-58.04035,20.931573,9723.89,1/day,False,False,True,4,False,5,6,1,1,1
5217.26,Clothing,P2M,-89.229622,-86.503664,842.32,1/day,True,True,True,3,False,18,5,1,1,1
5664.72,Groceries,P2P,-28.7290685,-176.220732,4439.03,5/day,True,True,True,2,False,6,2,1,1,1
6711.48,Restaurants,P2P,-88.939634,-31.188011,6160.14,3/day,False,False,False,0,True,23,2,1,1,1
8806.06,Electronics,P2P,16.541982,82.97779,7146.62,5/day,False,False,True,0,False,21,4,1,1,1
7004.53,Groceries,P2M,29.7929955,166.667271,991.78,3/day,True,True,True,0,False,22,0,1,1,1
5365.68,Travel,P2M,-71.085895,65.946987,4343.97,5/day,True,False,False,0,False,11,3,1,1,1
5055.74,Electronics,P2M,13.582589,18.038072,1218.93,1/day,False,True,False,4,False,7,4,1,1,1
7716.93,Utilities,P2P,-67.5891,34.102338,6156.39,5/day,False,True,True,3,False,2,1,1,1,1
4496.88,Entertainment,P2P,-7.9649305,74.305027,679.42,5/day,False,False,False,0,False,16,3,1,1,1
6652.6,Restaurants,P2M,-79.536739,58.532182,6575.1,3/day,True,False,False,0,False,0,3,1,1,1
7233.52,Groceries,P2M,-70.8566235,138.349911,6252.6,5/day,True,True,False,4,False,17,5,1,1,1
1754.89,Groceries,P2M,-64.8096515,-17.532008,9680.57,3/day,False,False,True,4,False,2,6,1,1,1
8813.98,Electronics,P2M,13.0201055,132.759729,8090.66,3/day,True,True,True,0,True,4,1,1,1,1
8797.65,Groceries,P2M,49.83359,-118.143113,8038.87,3/day,True,False,False,2,False,14,1,1,1,1
2027.33,Entertainment,P2P,-34.627087,-21.880092,1988.04,5/day,True,False,False,4,False,4,6,1,1,1
1097.56,Clothing,P2M,-68.1156465,-73.45787,7821.82,3/day,False,True,True,4,False,21,4,1,1,1
3462.47,Entertainment,P2P,-58.7376675,70.431564,7734.16,5/day,False,True,True,0,False,1,1,1,1,1
4167.57,Entertainment,P2M,-66.882576,32.280843,4235.95,1/day,False,True,True,1,True,2,1,1,1,1
4727.03,Travel,P2P,14.9990945,-100.097156,7854.28,5/day,True,False,True,2,False,17,5,1,1,1
5695.28,Utilities,P2P,1.9240715,20.678435,1229.95,1/day,False,False,True,1,False,17,1,1,1,1
7785.91,Clothing,P2P,27.0743245,167.741359,7314.49,3/day,False,False,True,0,False,7,1,1,1,1
3355.75,Restaurants,P2P,28.769521,58.89671,238.1,5/day,False,True,True,4,False,4,2,1,1,1
6848.36,Entertainment,P2P,-57.5965195,151.789995,6729.39,3/day,True,False,True,4,False,10,4,1,1,1
4884.45,Clothing,P2M,-15.0281025,-83.959673,4171.64,1/day,False,False,False,3,False,4,6,1,1,1
3813.05,Groceries,P2P,37.9590155,173.807378,1435.12,5/day,True,True,False,3,False,10,3,1,1,1
9479.33,Restaurants,P2P,-48.6343055,169.633626,9944.74,3/day,False,False,True,0,False,21,5,1,1,1
9985.0,Entertainment,P2M,34.6535205,122.518329,7314.82,3/day,True,True,True,0,False,22,4,1,1,1
1152.24,Travel,P2P,-23.420155,-44.227869,8534.44,3/day,True,True,True,4,True,7,6,1,1,1
6825.35,Electronics,P2M,37.0033975,-101.246407,6678.92,1/day,False,True,True,1,False,6,6,1,1,1
9758.37,Restaurants,P2M,45.9052805,-88.815366,5812.84,5/day,True,True,True,0,False,1,1,1,1,1
5479.23,Utilities,P2P,-50.879329,136.157324,8262.61,1/day,True,False,False,4,False,2,3,1,1,1
5593.34,Electronics,P2M,0.5493455,-96.433365,3372.93,3/day,False,True,False,1,False,13,6,1,1,1
9932.44,Clothing,P2P,47.224362,50.053714,832.01,5/day,True,True,True,4,False,10,3,1,1,1
138.55,Utilities,P2P,-27.153189,64.471371,294.66,1/day,True,False,True,2,False,10,1,1,1,1
6045.08,Clothing,P2P,67.5894295,80.239306,9392.07,1/day,False,False,False,4,False,6,3,1,1,1
2571.73,Entertainment,P2P,85.687974,106.592897,9438.82,5/day,True,True,False,4,False,15,1,1,1,1
7068.02,Electronics,P2P,-14.526807,-47.239176,8733.81,5/day,False,True,True,2,False,7,1,1,1,1
8599.62,Clothing,P2P,-86.127005,84.604484,3629.43,3/day,True,True,True,3,False,14,6,1,1,1
6527.71,Electronics,P2P,33.208754,-146.244522,758.55,3/day,True,True,True,0,True,2,4,1,1,1
2249.41,Travel,P2M,-59.4363085,58.345696,4124.93,3/day,True,False,True,3,False,3,0,1,1,1
8535.41,Restaurants,P2P,-79.6209835,50.552703,3371.71,1/day,True,True,False,3,False,9,4,1,1,1
3613.43,Restaurants,P2M,29.584367,-54.266933,8826.61,1/day,True,True,False,0,False,17,2,1,1,1
3106.12,Groceries,P2M,85.021224,79.726913,7423.59,1/day,False,True,True,0,False,6,3,1,1,1
5151.7,Electronics,P2P,7.367567,128.545135,6405.83,1/day,False,False,True,2,False,15,3,1,1,1
585.41,Electronics,P2P,-11.6820525,-7.569198,7989.23,3/day,False,True,True,1,False,17,6,1,1,1
6263.92,Travel,P2M,-66.666044,-41.221943,1236.05,1/day,True,True,True,2,False,14,3,1,1,1
8197.49,Groceries,P2M,47.9670225,24.73939,771.35,1/day,True,False,True,0,False,12,2,1,1,1
